"","platform","seed","Npar","delta.target","time","minESS","medianESS","Nsims","minESS.coda","Rhat.min","Rhat.max","Rhat.median","metric","eps.final","samples.per.time","time.total","model","cor"
"40","stan.nuts",32386,2,0.8,0.509999999999991,10791.316362923,12800.3051025622,20000,11573.4453620854,0.999952859415265,1.00008179291492,0.99995954211499,"diag_e",1.24304956772148,21159.4438488689,0.509999999999991,"mvnc",0
"41","jags",59189,2,0.5,0.660000000000025,10575.8468977554,10869.3861453429,20000,10754.6701206444,0.999977665503048,1.00032093715942,1.00014930133123,NA,NA,16024.0104511439,0.660000000000025,"mvnc",0.25
"42","stan.nuts",59189,2,0.8,0.509999999999991,9492.38740848605,11426.8766762578,20000,9657.48532794519,0.999951292359135,1.00000217020298,0.999963870801066,"diag_e",1.30556498631458,18612.5243303651,0.509999999999991,"mvnc",0.25
"43","jags",33032,2,0.5,0.649999999999977,10553.4116669932,10862.5832232576,20000,10599.4981713932,0.999950113198908,1.00005370103406,1.00000190711648,NA,NA,16236.0179492208,0.649999999999977,"mvnc",0.25
"44","stan.nuts",33032,2,0.8,0.520000000000039,10149.8423908069,10323.8924380927,20000,10144.5913272652,0.999954204027154,1.00026361512879,1.00001301082097,"diag_e",1.31738953766012,19518.9276746272,0.520000000000039,"mvnc",0.25
"45","jags",19139,2,0.5,0.670000000000016,10284.9753228428,10567.3112302935,20000,10455.6672087525,1.00001474097544,1.00001798474574,1.00001636286059,NA,NA,15350.7094370784,0.670000000000016,"mvnc",0.25
"46","stan.nuts",19139,2,0.8,0.519999999999982,8474.34172735907,9985.28886591885,20000,8551.60359290547,0.999950001124237,1.0000036883963,0.999957621622214,"diag_e",1.44439712635155,16296.8110141526,0.519999999999982,"mvnc",0.25
"47","jags",78362,2,0.5,0.79000000000002,9728.42593960263,10446.2943734555,20000,10388.3351581151,0.999984271963877,0.999987756131995,0.999986014047936,NA,NA,12314.4632146866,0.79000000000002,"mvnc",0.25
"48","stan.nuts",78362,2,0.8,0.529999999999973,11521.6671581929,12626.189095562,20000,12250.0456841323,0.999973278375447,1.00006374390549,1.00002004057905,"diag_e",1.20942319270793,21738.9946381008,0.529999999999973,"mvnc",0.25
"49","jags",61413,2,0.5,0.670000000000016,10309.4716997589,10591.4655014785,20000,11013.599223177,0.999951435496632,0.999975224282384,0.999963329889508,NA,NA,15387.2711936697,0.670000000000016,"mvnc",0.25
"50","stan.nuts",61413,2,0.8,0.5,11139.7436204424,12282.7103552601,20000,11202.2280067813,0.999950936711754,1.00000750368011,0.999954356223801,"diag_e",1.2061308326289,22279.4872408848,0.5,"mvnc",0.25
