"X","platform","seed","Npar","delta.target","time.warmup","time.sampling","minESS","medianESS","Nsims","minESS.coda","Rhat.min","Rhat.max","Rhat.median","metric","eps.final","samples.per.sampling.time","samples.per.time","time.total","model","mean.efficiency","sd.efficiency","median.efficiency","lwr.efficiency","upr.efficiency"
3,"stan.nuts",1,66,0.7,9.984,24.811,346.852010731484,804.013871759197,10000,374.222701034172,0.999900678246314,1.00676588708578,1.0023956280203,"diag_e",0.181862417691953,13.9797674713427,9.96844405033724,34.795,"growth_t",7.24374109106855,3.99968377575625,7.06183265540703,2.45037120086596,12.6964605158612
9,"stan.nuts",2,66,0.7,12.378,36.759,233.519538747666,612.612154988159,10000,308.031265590179,0.999941897141964,1.00515128577768,1.00166269688482,"diag_e",0.125919458685987,6.35271739567634,4.75241750102095,49.137,"growth_t",7.24374109106855,3.99968377575625,7.06183265540703,2.45037120086596,12.6964605158612
15,"stan.nuts",3,66,0.7,11.361,21.74,139.802254513906,463.92665566423,10000,279.486051077444,0.999900052674206,1.00068489397965,1.00001379481741,"diag_e",0.20657771525892,6.43064648178041,4.22350546853285,33.101,"growth_t",7.24374109106855,3.99968377575625,7.06183265540703,2.45037120086596,12.6964605158612
21,"stan.nuts",4,66,0.7,10.14,25.06,446.915410158316,1016.81915955038,10000,402.411766964461,0.99990399955708,1.00247460918375,1.00076684200118,"diag_e",0.178013037768293,17.8338152497333,12.6964605158612,35.2,"growth_t",7.24374109106855,3.99968377575625,7.06183265540703,2.45037120086596,12.6964605158612
27,"stan.nuts",5,66,0.7,11.501,18.609,73.780676858074,264.856472544704,10000,195.872602053802,0.999906495079443,1.01373918762287,1.00162333793004,"diag_e",0.240742012479977,3.96478461271825,2.45037120086596,30.11,"growth_t",7.24374109106855,3.99968377575625,7.06183265540703,2.45037120086596,12.6964605158612
33,"stan.nuts",6,66,0.7,10.473,22.376,307.836119303893,762.990916133498,10000,417.170448099076,0.999912026646916,1.00483858505887,1.00027618708466,"diag_e",0.213003587486108,13.7574239946324,9.3712478097931,32.849,"growth_t",7.24374109106855,3.99968377575625,7.06183265540703,2.45037120086596,12.6964605158612
4,"stan.nuts",1,66,0.8,11.997,28.248,284.755015763523,713.713432922463,10000,340.520938517969,0.999916410623728,1.00533221865387,1.00073433509328,"diag_e",0.150950074953609,10.0805372332032,7.07553772551926,40.245,"growth_t",7.79343503619343,1.06427774330387,7.96350382984187,6.09168012136819,8.95904914654967
10,"stan.nuts",2,66,0.8,13.929,25.799,355.925104494125,946.9037582661,10000,391.812390042074,0.999901430031976,1.00108343341675,1.00018481003564,"diag_e",0.167434802962529,13.7960814176567,8.95904914654967,39.728,"growth_t",7.79343503619343,1.06427774330387,7.96350382984187,6.09168012136819,8.95904914654967
16,"stan.nuts",3,66,0.8,12.756,23.626,290.224392300968,605.185062058367,10000,351.491210039795,0.99990003804125,1.00379323656604,1.0003376703153,"diag_e",0.186047306120752,12.2841103996008,7.97714233139927,36.382,"growth_t",7.79343503619343,1.06427774330387,7.96350382984187,6.09168012136819,8.95904914654967
22,"stan.nuts",4,66,0.8,12.104,25.619,229.796449218372,608.248446774895,10000,288.610317704991,0.999899998059984,1.00016523958221,0.999926259380334,"diag_e",0.168125505514582,8.9697665489821,6.09168012136819,37.723,"growth_t",7.79343503619343,1.06427774330387,7.96350382984187,6.09168012136819,8.95904914654967
28,"stan.nuts",5,66,0.8,14.544,25.673,350.182914378986,780.912782533388,10000,413.363828774374,0.999911010693292,1.00649248602988,1.00224785351919,"diag_e",0.171668359915186,13.6401244256217,8.70733556403974,40.217,"growth_t",7.79343503619343,1.06427774330387,7.96350382984187,6.09168012136819,8.95904914654967
34,"stan.nuts",6,66,0.8,13.282,25.258,306.387809752083,791.907518783315,10000,380.019527055644,0.999902061489648,1.00776272464162,1.00018050029214,"diag_e",0.177893895799028,12.1303274111998,7.94986532828447,38.54,"growth_t",7.79343503619343,1.06427774330387,7.96350382984187,6.09168012136819,8.95904914654967
5,"stan.nuts",1,66,0.9,16.016,26.285,96.7451413000283,895.350514854084,10000,240.835314587614,0.999900261815308,1.00754934886248,1.0004358735984,"diag_e",0.162426668661948,3.68062169678632,2.28706511193656,42.301,"growth_t",5.88152688157703,2.79106141635584,7.21133164544562,2.28706511193656,8.56052481347765
11,"stan.nuts",2,66,0.9,15.515,30.009,337.988065282171,757.472821219147,10000,380.058662972495,0.99989999989766,1.00236922989186,1.00019600716404,"diag_e",0.14845729158598,11.2628899757463,7.42439296375913,45.524,"growth_t",5.88152688157703,2.79106141635584,7.21133164544562,2.28706511193656,8.56052481347765
